date,url,title,body
2018/06/06 22:53,https://ameblo.jp/soratobsakana/entry-12381842125.html?frm=theme,山崎春のパン祭り,"どうも

お久しぶりです
いつもお久しぶり言ってる気がしますね
駄目ですね
いや、私がちゃんと書けば良いんですけどね
はい次の話行きましょう！！
この前レイの生誕祭でした
盛りだくさんの企画で自分達も来てくれた方々も
楽しんでもらえたのではと思います
今日の定期公演もたのしかったなー
じゃあ短いですがまた
おやすみなさい
(申し訳)

山崎春のパン祭り"
2018/06/23 21:53,https://ameblo.jp/soratobsakana/entry-12385877394.html?frm=theme,山崎春のパン祭り,"どうも

最近のブームはサーティワンです
うまい！！！
すてき！！！
おいしい！！
住みたいよねー！
話変わるけど最近ここに住みたい！
っていうところがいくつかあってね
将来絶対住もうって思いました
将来の夢は沢山あるんだよ～～
大人にはなりたくないし
でも子供じゃ嫌だし
なんだかなぁ
何もしなくて何にも縛られない生活がいいね！
まあそんなものは無いんだけれどね！
好きなことだけやって好きなように生きたいね！
子供だから言えることだけどね！
ハイハイこんなこと言ってないで
やることやります
さよなら～～
山崎春のパン祭り"
2018/07/02 22:33,https://ameblo.jp/soratobsakana/entry-12388037469.html?frm=theme,おつ山崎夏のパン祭り,"どうも
久しぶりのブログでごめんね
soratobsakana 4th Anniversary！！！
では改めまして4周年ワンマンライブありがとうございました～！国際フォーラムでやれるの幸せすぎるよね～国際フォーラムだよ国際フォーラム！本当に楽しかったな～今回、二部構成でしかも豪華バンドセットバンドさんもＶＪも素晴らしすぎていや～豪華でしたね～沢山のイベントの中、soratobsakanaの4周年ワンマンライブに来てくれた方ありがとうございます！！！本当になんて言ったらいいのか分からんのだけどみんながステージを見に来てくれて本当に本当に嬉しかったです！楽しんでもらえましたか？沢山のメッセージキレイなお花ありがとうございました！私はねもちろん楽しかったです！！大きなホールでできたというだけでも興奮しますねsoratobsakanaが結成されて4周年ということでこんなに大きいところでやらせて頂いたのですがって感じですね本当にこれメジャーデビューを果たせて今まで以上に自分達のまわりに関わってくれる大人の人達がふえてそんな人達がみんなオサカナのことを考えてくれてるバックアップしてくれているサポートしてくれているって思うと本当に感謝しかない感謝感激雨あられですだから私もあしをひっぱることのないようにより頑張りたい！！って思っています！！可能性無限大の世界！！勢いの波に乗りたい！！国際フォーラム C素敵な場所！！最高の皆と！！かけつけてくれた皆さんと！！一瞬一瞬が刻まれた最高の1日！！練習時間はいつもより短く感じて思ってた以上に焦りを感じてたことを今更ぎりぎりに気づいてでもやるしかなくて毎日メンバーと一緒にスタッフさんのサポートで頑張れた日々それが結構楽しくて！！今を生きてるって感じ！！！まとまんない！！けど超楽しい！！！伝わりづらいかもだけどきっと周りが感じている以上にたのしんでいる自分がいる15年間生きてますが楽しいが常にアップデートされてる！なんて幸せな人間なんだ！！5年目もsoratobsakanaをよろしくお願いします！山崎夏のパン祭り"
2018/07/09 19:47,https://ameblo.jp/soratobsakana/entry-12389646068.html?frm=theme,山崎夏のパン祭り,"どうも

昨日はsoratobsakanaを直接見に来てくれた方、配信で観てくれた方、ありがとございました！
今年もありがたいことにアイドル横丁
2日間出演させていただきました！
予報が変わり昨日は本当にはれてくれて
暑かったですね
たまに吹く風がきもちよかった
日焼け大丈夫でしたか？
暑い中お疲れ様でした
本当に夏になったんですね～
というか一年が本当に早くて
びっくりです
今年も出れて嬉しかったです
どちらも1番地に立たせていただきましたし
今年本当にやっばいな

感謝することしかないなあ
2日間本当にありがとうございます
本当に楽しかったです
みなさん体調にお気をつけ
今日も一日お疲れ様でした
山崎夏のパン祭り"
2018/07/31 16:17,https://ameblo.jp/soratobsakana/entry-12394623804.html?frm=theme,山崎夏のパン祭り,"どうも
今日で7月も終わり
本格的な夏休みが始まるイメージ
今年の夏は去年よりも何日かお休みの日が増えてるので
最近は日常の幸せを噛み締めてます
なるほどこれが幸せ！
いや幸せは私たちの場合
具体的に感じる場面が多いので
幸せ自体は分かるます！が
日常の幸せってこういうことか～
と最近は理解出来た気がします！
なんだろ自分ポエマーなのでは(発覚)
お茶飲むことがとても良いことに思えたりして
今生きてるところは素敵な場所ですね！
朝学校行ってよるレッスンで
今の普通はこんな感じ
でもそれがないだけで本当に色々変わるんですね～～
すごっ
だって普通に過ごしてたら
ストレッチとか
MCの打ち合わせとかそもそも存在するの？？
なんか色々やってるんですね～普段は
そういう世界も良いけれど
こういう世界も良いんです！
今なんかねむいって思いながら
遅めのお昼ご飯食べてますもん
夏休み有効活用しすぎじゃない？
学生エンジョイじゃん！
夏休みは暑いし宿題あるし
なんか色々言われるし
やることも一気に増えるから
好きか嫌いかで言ったら嫌いだけどまあ普通(は？)
でもやることがないよりかはマシ！
いやないのも最高だけれど
宿題しながらウスターソース派かウィスターソース派かくだらないこと考えられるしさあ！
つまり何が言いたいかというと眠いです！
マジで何言ってんですかねこの人！
あー！！！！！山崎真夏のパン祭りにしようかなぁァァ！！！！！！！！ぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！！！頭良くなりて！！！！！！！！！！
山崎夏のパン祭り"
2018/08/08 23:34,https://ameblo.jp/soratobsakana/entry-12396582161.html?frm=theme,山崎夏のパン祭り,"どうも

TIF三日間ありがとうございました～～
今年もやってやったぜTIF～～フゥーーー
という気持ちになれるくらいに楽しかったです総合的に！！！
なんと今年もHOT STAGE立てました本当に嬉しい！！！
夏は暑い！！！
だから言っちゃえば苦手なこと多いけれど
夏フェスとかで
あっちぃぃぃー！！！！って叫びながら踊りまくって、歌いまくる
のは本当に楽しいんです
夏フェスは好き！
ん～～～～素直ッ！
今年はスカイステージからスマイルガーデンで終わり
1日目のスカイステージ！
いや～～アツイぜ！
いろんな意味で
スカイステージは自分で言っちゃうけど
最高にオサカナに似合うと思います！
スカイだよ？
空だよ？
さかなじゃん？？
ってかんじ！ここは自信あるわ！！
ものすごく暑かったしびっくりするほど眩しかったけど
目あいてなかったけど
最高でした～～！！！！
暑い中色々お疲れ様ですありがとうございました
2日目は
メインのホットステージ！！
きたきたこれこれえええぇぇぇぇ！！！！
立てて嬉しい！！！！
本当に！！！
ステージにたてる30分間でさかなを見せようと思いました～～
やっぱりホットだものね
強気で行かなくちゃね！！！
だから最高だったね！！
うん！！！
沢山の人達の中soratobsakanaをみてもらえて最高すぎた！
楽しかった！！
今年もあの場所に立ててよかった！！
あーーーーー顔面筋肉痛！！！
よっしゃやりましたぜぇぇ！！！
そして三日目は
2ステージありました
まずはDOLL FACTORY
室内だったから、みんなも少しはクールダウンできたのでは～
照明があるのも素敵よね
ちゃんと目があくライブが最終日に出来て良かった～～～
そしてTIFの締めくくり
スマイルガーデン！！！
こいつはやばい！！！という感じ
激上げで終わるのすごいヤバくない
きっとみんな疲労感もやばい
お疲れ様ですありがとうございました～～！
ここ大好きなんですよ～～も～～！！
もう人が凄かった！
見えてましたかーーー！？？？？
わたしはみえてましたーー！
たぶん！！！
ちょう熱い！！！！
いろんな意味であつかった
楽しかったです！
私天邪鬼なので最後になればなるほど楽しくて
疲れないんですよね～～
まああとからくるんですけどね～～しんど
みんなが楽しんでくれてたら本望です
しかもトリ前！！
次も頑張れちゃいますね
なんとういうかいつも通りさっぱりしてますが
TIFは結構かなり上がってました
ありがとうございました！
今色々きてるしんど
山崎夏のパン祭り"
2018/08/13 22:50,https://ameblo.jp/soratobsakana/entry-12397694355.html?frm=theme,山崎夏のパン祭り,"どうも
寺口生誕ありがとうございました！！
生誕祭自分達だけじゃなく、来てくれた皆さんも
楽しんでもらえたようで
よかったです
すごろく楽しかったな〜
次はふうかの生誕祭
の前には台湾
たのしみですね
そーいえば
携帯の履歴とか全部消してリセットする
常に何も無い状態が好きで癖なんですけど
絶対に後が面倒になる
だってまた最初から打ち直さなきゃですもんね
なかなか面倒です！
自分で消さなきゃいいんですけどね
話は変わりますが
さくちん(Twitter)のツイッター見たんですけど
私もコストコ行きたい！！！
行ったことないんです！
なんか大きいところみたいなイメージしかない
両親連れてって！
いきなりだけど
写真は串家物語に友達と行った時の
串揚げといえばお茶漬けは定番説
が浮上した時の
知らなかったや
山崎夏のパン祭り"
2018/08/27 23:20,https://ameblo.jp/soratobsakana/entry-12400857766.html?frm=theme,山崎夏のパン祭り,"どうも

アットジャムありがとうございましたー！！！！
ありがたいことに今年はキウイステージとストロベリーステージに立たせていただきました～
やった～～𓀁！！
の前に
急に声が出なくなってしまって申し訳ありません！歌えなくて本当にごめんなさい！
朝起きたら声が！
無理にだすとかすれすぎてやばい声で！
自分でもおどろきすぎました！
今では低い声すら出ず吐息です！
家では、話すの禁止になりました！
数日は喉をつかわず1日も早く治したいと思います！
自己管理できていなかったせいだけど！
うたえないのもたいないな！！
けど自分で思う以上に実際はまったく歌えなくて
本当にもどかしくて悔しかった！
それでもsoratobsakanaがストロベリーステージに立てたのは本当にうれしかった～
メンバーに迷惑をかけてしまったけど
メンバーがフォローして歌ってくれて本当に感謝！
soratobsakanaを見に来てくれた方
本当にありがとうございました！！！！
キウイステージは朝が早かったのですが
アットジャムには朝からたくさんの人がいてびっくりでした
やっぱり屋内はいいな～～
ストロベリーステージが後にあったので
表情には出てなかったかも知れませんが
楽しんでました～～ハハハ
念願のストロベリーステージ
去年東京女子流さんとのコラボで初めて立ったんですけど
今年はsoratobsakanaとして立てて本当に嬉しかったです～
しかもトリ前！なんてことなの
今年は花道もありましたね
花道は数回経験してきたけれど
いつも難しいから練習するんです
花道は走れるから楽しいけど使い方が大変で
だけどセンターステージに行った時は
約360°人がいたりするから
超気持ちが良い！って感じ
ということでストロベリーステージも本当に楽しかったです！
次は万全な状態でリベンジできたらうれしいです～～～
夏フェスはこれで終わりだし夏休みも終わるけど
今年の夏いい感じだったと思います～～！！！！
みなさん本当に本当にお疲れ様でした～

山崎夏のパン祭り"
2018/09/25 21:14,https://ameblo.jp/soratobsakana/entry-12407551444.html?frm=theme,山崎初秋のパン祭り,"お久しぶりです
冬のパン祭りとなのりたくなるぐらいの寒さですね～
なつかの写真置いときますアットジャム以来書けていませんでしたすみません！お久しぶりです最近のお話なんですけど明太子美味しい！辛いのが苦手なのでそもそも食べようとしなかったんですが明太マヨ食べたら最高に美味でしたなにこれすご～～いだからちょっと辛いものいけるかもとか思って辛いの食べてみたら我慢できる程度でした～そして美味しい！ちょっと味覚が大人になってきたのでは～～～？我は超超超激甘党なんですよそうなんですなんだけど最近は甘いのが少しダメになってきてしまってダメというか、沢山食べれない～大好きなんだけどな～！！食べたい気持ちはあるけどちょっと食べたら満足しちゃうのですこれは本格的に大人の階段登る～～～？登っちゃってる～？これからは両立していきたいと思いましたていうか中間はどちらでもないのではえ？もしかして普通か？？？いやいや、甘党に籍は置いときますが少し辛党に傾きかけていま～す明太マヨ "
2019/02/18 22:54,https://ameblo.jp/soratobsakana/entry-12441156788.html?frm=theme,2019/02/18,"2月17日
Zepp Tokyo 天体の音楽会vol.2ありがとうございました～お久しぶりです、なかなか書けずにすみませんはい、なんとvol.2です！！嬉しいですね、あれもこれも沢山の方々にサポートしてもらえてみんながいたおかげなんですけど、本当に有難い、ありがとうございました
今回も豪華な出演者さんが沢山！
嬉しいかぎりです～
どなたが、とかじゃなく、皆さんが皆さん素晴らし過ぎた方々でした
中野サンプラザさんに引き続きまた大きい会場で
今回はライブハウス 
しかもバンドセット
ギラギラな予感しかしませんでしたね
予想通り以上に楽しかったです！
ギラギラってかんじ！
もう、安定のというか
大好きなバンドセットメンバーさん！

マジで好きだ。
なにこれ安心する。
パピーマミーやん産まれるわ
楽屋では一緒にめちゃくちゃ遊びました
好きぴです～
いつでも優しくて、おもしろくてステージ上ではノリノリ
正直好きしかない
目が合うと逸らしてしまうけど(ごめんなさい)
見てくれてるんだなーって嬉しいですね
1番の特等席じゃん
わっわー
あったかいメンバーさんに支えられて
頑張れちゃったな～～～！！
もちろんメンバーも大好き！

こういう時にさ
ウチら仲良じゃ～～～ん！！
ていうの再確認実感しちゃうな、？？
まじで最高のメンバーですわ
みなもそう思いません、？？
私は思ってるんだけどね
言わないけどね、伝わってるだろうしね
すきぴ～～～ウキウキ
出演者のみなさんも
すっごいかっこよかった！！
こういうフェスとか、
見学すると本当に面白い。
恥ずかしながらお初にお目にかかる方が多いので
ほんとに終始新鮮ドキドキしてました
すきがあふれるな～～～～
こうやって出演してくれるのも
優しいな好きだな嬉しいな～～～
世界が私に優しいな～～～
あとさ、新衣装だたな！

全身はない！
ふわふわです
ステージでばえてたね
ふっふっふっ
素敵な衣装をありがとうございます
ノックノックのMVで着てるんだぜ
ニューストも載ってるから
YouTube漁ってください～～～！
わっわー！
みんなはどうだった？？
うぉーくも歌わせてもらたぜ
みんな足は疲れてるだろうけどさ、
テンション上がりまくりでたのしかったよね？？でしょ？？わかる(強引)
みんなが楽しんでくれてればそれが一番
万々歳です！
オールオッケー！
わっわー！

あとね、
お花もありがとうございました←これは太陽

なんと加入して4年らしくて
今日から5年目だそうです
あっという間だ
すげーでござる！すげーでござる！
スタートが素敵なら未来も楽しみしか
これからもよろしくお願いします
本当にありがとうございました～
文は真面目腐ってるけどな、(は？)
昨日はバリ笑顔だったぜ(きっとそう)"
